name,artist,album,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
Before Somebody Gets Hurt,Kevin Fowler,How Country Are Ya?,6SSWklXvw7fMpPPxFAo6mx,0,0.596,0.759,2,-4.593,1,0.0352,0.288,0.0,0.117,0.539,133.973,audio_features,6SSWklXvw7fMpPPxFAo6mx,spotify:track:6SSWklXvw7fMpPPxFAo6mx,https://api.spotify.com/v1/tracks/6SSWklXvw7fMpPPxFAo6mx,https://api.spotify.com/v1/audio-analysis/6SSWklXvw7fMpPPxFAo6mx,231664,4,country
I Am the Light of This World - Live,Hot Tuna,"2002-12-10 the Bichmere, Alexandria, Va",7MD8rUClVCbbmMo7sad8s7,0,0.386,0.474,4,-11.79,1,0.055,0.375,0.000188,0.356,0.627,168.343,audio_features,7MD8rUClVCbbmMo7sad8s7,spotify:track:7MD8rUClVCbbmMo7sad8s7,https://api.spotify.com/v1/tracks/7MD8rUClVCbbmMo7sad8s7,https://api.spotify.com/v1/audio-analysis/7MD8rUClVCbbmMo7sad8s7,250333,4,country
Am I Right Or Wrong?,Son House,Atomic Days,59ffIIE7970hYSf5oMTLtu,0,0.622,0.31,8,-9.51,1,0.0501,0.994,0.464,0.106,0.767,97.912,audio_features,59ffIIE7970hYSf5oMTLtu,spotify:track:59ffIIE7970hYSf5oMTLtu,https://api.spotify.com/v1/tracks/59ffIIE7970hYSf5oMTLtu,https://api.spotify.com/v1/audio-analysis/59ffIIE7970hYSf5oMTLtu,111256,4,country
Nobody's Business,Clyde Moody,The Hillbilly Waltz King,2IszJUrKX2xwWgK4UiKY1F,0,0.562,0.611,5,-12.317,0,0.0674,0.183,0.144,0.0996,0.702,107.814,audio_features,2IszJUrKX2xwWgK4UiKY1F,spotify:track:2IszJUrKX2xwWgK4UiKY1F,https://api.spotify.com/v1/tracks/2IszJUrKX2xwWgK4UiKY1F,https://api.spotify.com/v1/audio-analysis/2IszJUrKX2xwWgK4UiKY1F,141907,4,country
Love's Gonna Happen To Me,Wynn Stewart,His Very Best,1jpQQyV5moHdIyiMg7hHWp,2,0.793,0.451,11,-9.278,0,0.0758,0.351,2.14e-06,0.0833,0.822,147.033,audio_features,1jpQQyV5moHdIyiMg7hHWp,spotify:track:1jpQQyV5moHdIyiMg7hHWp,https://api.spotify.com/v1/tracks/1jpQQyV5moHdIyiMg7hHWp,https://api.spotify.com/v1/audio-analysis/1jpQQyV5moHdIyiMg7hHWp,124520,4,country
Bundlin',Dominic Kirwan,The Essential Irish Collection,4RaUpWgOmfBV0o10bLrHuf,0,0.41,0.562,7,-9.409,1,0.0419,0.421,0.0,0.0734,0.946,183.321,audio_features,4RaUpWgOmfBV0o10bLrHuf,spotify:track:4RaUpWgOmfBV0o10bLrHuf,https://api.spotify.com/v1/tracks/4RaUpWgOmfBV0o10bLrHuf,https://api.spotify.com/v1/audio-analysis/4RaUpWgOmfBV0o10bLrHuf,170520,4,country
"Houston, We Got a Problem",Luke Combs,This One's for You Too (Deluxe Edition),6guWjUuNYziyNXgjFo1IpF,69,0.521,0.762,9,-5.059,1,0.0362,0.0961,6.15e-06,0.395,0.486,143.866,audio_features,6guWjUuNYziyNXgjFo1IpF,spotify:track:6guWjUuNYziyNXgjFo1IpF,https://api.spotify.com/v1/tracks/6guWjUuNYziyNXgjFo1IpF,https://api.spotify.com/v1/audio-analysis/6guWjUuNYziyNXgjFo1IpF,191987,4,country
Strange Strange Man - Live,Norma O'Hara Murphy,Live in Bundaberg,45WbeQVTE5uzZxU3Uegut2,0,0.435,0.511,9,-8.066,1,0.0764,0.699,0.0,0.521,0.518,115.358,audio_features,45WbeQVTE5uzZxU3Uegut2,spotify:track:45WbeQVTE5uzZxU3Uegut2,https://api.spotify.com/v1/tracks/45WbeQVTE5uzZxU3Uegut2,https://api.spotify.com/v1/audio-analysis/45WbeQVTE5uzZxU3Uegut2,281360,4,country
Hangman's Boogie,Cowboy Copas,22 Original King & Starday Top Billboard Hits Hits,45AHmmtbyFoTl0xF9OzFKB,1,0.626,0.382,2,-9.705,1,0.0413,0.979,2.06e-05,0.23,0.885,136.246,audio_features,45AHmmtbyFoTl0xF9OzFKB,spotify:track:45AHmmtbyFoTl0xF9OzFKB,https://api.spotify.com/v1/tracks/45AHmmtbyFoTl0xF9OzFKB,https://api.spotify.com/v1/audio-analysis/45AHmmtbyFoTl0xF9OzFKB,153533,4,country
Down On The Corner Of Love,Buck Owens,Y'all Come,1vSeUYMiv8dXTfgicivZPI,0,0.641,0.345,4,-12.549,1,0.0444,0.686,0.0277,0.307,0.9,132.821,audio_features,1vSeUYMiv8dXTfgicivZPI,spotify:track:1vSeUYMiv8dXTfgicivZPI,https://api.spotify.com/v1/tracks/1vSeUYMiv8dXTfgicivZPI,https://api.spotify.com/v1/audio-analysis/1vSeUYMiv8dXTfgicivZPI,145600,4,country
